date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:29	507478/507478	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e92c48e-7be56%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.svg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-brands-400.svg	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:29	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-79b4%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.eot	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:29	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-79b4%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.eot?	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400d41d.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:30	12220/12220	---M--	200	added ('OK')	font/woff2	etag:%225e92c48e-2fbc%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.woff2	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.woff2	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:30	14712/14712	---M--	200	added ('OK')	font/woff	etag:%225e92c48e-3978%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.woff	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.woff	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:30	30928/30928	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e92c48e-78d0%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.ttf	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.ttf	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:30	107199/107199	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e92c48e-1a2bf%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.svg	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-regular-400.svg	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:30	102152/102152	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-18f08%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.eot	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:31	102152/102152	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e92c48e-18f08%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.eot?	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-solid-900d41d.eot	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:31	38784/38784	---M--	200	added ('OK')	font/woff2	etag:%225e92c48e-9780%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.woff2	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.woff2	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:31	48704/48704	---M--	200	added ('OK')	font/woff	etag:%225e92c48e-be40%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.woff	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.woff	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
14:59:31	101932/101932	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e92c48e-18e2c%22	https://technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.ttf	C:/Users/BTL%20Africa/Desktop/job-portal/technext.github.io/jobfinderportal/assets/fonts/fa-solid-900.ttf	(from https://technext.github.io/jobfinderportal/assets/css/fontawesome-all.min.css)
